handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,id,variable,value
True,t2.json,10,True,False,False,2d-conv,82,phase_1_n,428
True,t2.json,10,True,False,False,2d-conv,82,phase_2_n,
True,t2.json,10,True,False,False,2d-conv,82,impr_cost,
True,t2.json,10,True,False,False,mat-mul,83,time,3.164839506149292
True,t2.json,10,True,False,False,mat-mul,83,cost,4.156000000000001
True,t2.json,10,True,False,False,mat-mul,83,phase_1_n,428
True,t2.json,10,True,False,False,mat-mul,83,phase_2_n,
True,t2.json,10,True,False,False,mat-mul,83,impr_cost,
True,t2.json,10,False,True,True,q-prod,84,time,367.88671135902405
True,t2.json,10,False,True,True,q-prod,84,cost,55.437999999999995
True,t2.json,10,False,True,True,q-prod,84,phase_1_n,8
True,t2.json,10,False,True,True,q-prod,84,phase_2_n,261015
True,t2.json,10,False,True,True,q-prod,84,impr_cost,5.150000000000013
True,t2.json,10,False,True,True,2d-conv,85,time,365.1851589679718
True,t2.json,10,False,True,True,2d-conv,85,cost,24.987999999999996
True,t2.json,10,False,True,True,2d-conv,85,phase_1_n,16
True,t2.json,10,False,True,True,2d-conv,85,phase_2_n,261005
True,t2.json,10,False,True,True,2d-conv,85,impr_cost,4.759999999999998
True,t2.json,10,False,True,True,mat-mul,86,time,364.5475962162018
True,t2.json,10,False,True,True,mat-mul,86,cost,4.156000000000001
True,t2.json,10,False,True,True,mat-mul,86,phase_1_n,4
