iteration,name,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
6,mul-0,0,1017401,19213,163.73,1017401,19213,163.73,0
6,mul-1,0,1017401,19213,163.73,1017401,19213,163.73,0
6,add-0-inv,7683,1017401,19213,163.73,1025084,19213,163.73,0
6,mul-1-inv,7683,1025084,19213,163.73,1032767,19213,163.73,0
6,div-1,0,1032767,19213,163.73,1032767,19213,163.73,0
6,div-1-inv,7683,1032767,19213,163.73,1040450,19213,163.73,0
6,expand-zero-get,0,1040450,19213,163.73,1040450,19213,163.73,0
6,litvec,1,1040450,19213,163.73,1040451,19213,163.73,0
6,neg-neg,0,1040451,19213,163.73,1040451,19213,163.73,0
6,neg-neg-rev,4756,1040451,19213,163.73,1049963,23969,163.73,0
6,neg-sgn,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-sgn-rev,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-zero-inv,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-zero-inv-rev,0,1049963,23969,163.73,1049963,23969,163.73,0
6,neg-minus,5854,1049963,23969,163.73,1055817,23969,163.73,0
6,neg-minus-rev,0,1055817,23969,163.73,1055817,23969,163.73,0
6,neg-minus-zero,0,1055817,23969,163.73,1055817,23969,163.73,0
6,neg-minus-zero-rev,0,1055817,23969,163.73,1055817,23969,163.73,0
6,vec-mac-add-mul,116380,1055817,23969,163.73,1055817,18477,158.72799999999998,5.0020000000000095
6,neg_unop,2010,1055817,18477,158.72799999999998,1058626,19276,157.525,1.2029999999999745
6,sgn_unop,0,1058626,19276,157.525,1058626,19276,157.525,0
6,+_binop_or_zero_vec,18114,1058626,19276,157.525,1076906,19442,157.525,0
6,*_binop_or_zero_vec,12540,1076906,19442,157.525,1089572,19568,157.525,0
6,-_binop_or_zero_vec,2203,1089572,19568,157.525,1091775,19568,157.525,0
6,vec-mac,452395,1091775,19568,157.525,1207980,21574,157.525,0
6,commute-add,5765,1207980,21574,157.525,1213745,21574,157.525,0
6,commute-mul,5765,1213745,21574,157.525,1219510,21574,157.525,0
6,assoc-add,0,1219510,21574,157.525,1219510,21574,157.525,0
6,assoc-mul,0,1219510,21574,157.525,1219510,21574,157.525,0
7,add-0,0,1219510,21574,157.525,1219510,21574,157.525,0
7,mul-0,0,1219510,21574,157.525,1219510,21574,157.525,0
7,mul-1,0,1219510,21574,157.525,1219510,21574,157.525,0
7,add-0-inv,5107,1219510,21574,157.525,1224617,21574,157.525,0
7,mul-1-inv,5107,1224617,21574,157.525,1229724,21574,157.525,0
7,div-1,0,1229724,21574,157.525,1229724,21574,157.525,0
7,div-1-inv,5107,1229724,21574,157.525,1234831,21574,157.525,0
7,expand-zero-get,0,1234831,21574,157.525,1234831,21574,157.525,0
7,litvec,0,1234831,21574,157.525,1234831,21574,157.525,0
7,neg-neg,0,1234831,21574,157.525,1234831,21574,157.525,0
7,neg-neg-rev,3097,1234831,21574,157.525,1241025,24671,157.525,0
7,neg-sgn,0,1241025,24671,157.525,1241025,24671,157.525,0
