handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
True,,2.0,False,True,True,q-prod,time,0.060414791107177734
True,,2.0,False,True,True,q-prod,cost,606.5590000000001
True,,2.0,False,True,True,2d-conv,time,0.01177978515625
True,,2.0,False,True,True,2d-conv,cost,912.9159999999999
True,,2.0,False,True,False,q-prod,time,0.006475687026977539
True,,2.0,False,True,False,q-prod,cost,606.5590000000001
True,,2.0,False,True,False,2d-conv,time,0.00520777702331543
True,,2.0,False,True,False,2d-conv,cost,912.9159999999999
True,,2.0,False,False,True,q-prod,time,0.057826995849609375
True,,2.0,False,False,True,q-prod,cost,606.5590000000001
True,,2.0,False,False,True,2d-conv,time,0.010087013244628906
True,,2.0,False,False,True,2d-conv,cost,912.9159999999999
True,,2.0,False,False,False,q-prod,time,0.003899097442626953
True,,2.0,False,False,False,q-prod,cost,606.5590000000001
True,,2.0,False,False,False,2d-conv,time,0.003244638442993164
True,,2.0,False,False,False,2d-conv,cost,912.9159999999999
True,,5.0,True,True,True,q-prod,time,0.07133722305297852
True,,5.0,True,True,True,q-prod,cost,606.5590000000001
True,,5.0,True,True,True,2d-conv,time,0.01285862922668457
True,,5.0,True,True,True,2d-conv,cost,912.9159999999999
True,,5.0,True,True,False,q-prod,time,0.0066068172454833984
True,,5.0,True,True,False,q-prod,cost,606.5590000000001
True,,5.0,True,True,False,2d-conv,time,0.005274534225463867
True,,5.0,True,True,False,2d-conv,cost,912.9159999999999
True,,5.0,True,False,True,q-prod,time,0.06993603706359863
True,,5.0,True,False,True,q-prod,cost,606.5590000000001
True,,5.0,True,False,True,2d-conv,time,0.011187314987182617
True,,5.0,True,False,True,2d-conv,cost,912.9159999999999
True,,5.0,True,False,False,q-prod,time,0.003902912139892578
True,,5.0,True,False,False,q-prod,cost,606.5590000000001
True,,5.0,True,False,False,2d-conv,time,0.0032308101654052734
True,,5.0,True,False,False,2d-conv,cost,912.9159999999999
True,,5.0,False,True,True,q-prod,time,0.07200813293457031
True,,5.0,False,True,True,q-prod,cost,606.5590000000001
True,,5.0,False,True,True,2d-conv,time,0.013099908828735352
True,,5.0,False,True,True,2d-conv,cost,912.9159999999999
True,,5.0,False,True,False,q-prod,time,0.006577014923095703
True,,5.0,False,True,False,q-prod,cost,606.5590000000001
True,,5.0,False,True,False,2d-conv,time,0.0052340030670166016
True,,5.0,False,True,False,2d-conv,cost,912.9159999999999
True,,5.0,False,False,True,q-prod,time,0.07008671760559082
True,,5.0,False,False,True,q-prod,cost,606.5590000000001
True,,5.0,False,False,True,2d-conv,time,0.011150360107421875
