rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-600.json,0,False,False,2d-conv,22,impr_cost,
time-ablation/rules-t-600.json,0,False,False,mat-mul,23,time,0.037450551986694336
time-ablation/rules-t-600.json,0,False,False,mat-mul,23,cost,-1.0
time-ablation/rules-t-600.json,0,False,False,mat-mul,23,phase_1_n,
time-ablation/rules-t-600.json,0,False,False,mat-mul,23,phase_2_n,
time-ablation/rules-t-600.json,0,False,False,mat-mul,23,impr_cost,
time-ablation/rules-t-600.json,5,True,False,q-prod,24,time,0.038437604904174805
time-ablation/rules-t-600.json,5,True,False,q-prod,24,cost,-1.0
time-ablation/rules-t-600.json,5,True,False,q-prod,24,phase_1_n,
time-ablation/rules-t-600.json,5,True,False,q-prod,24,phase_2_n,
time-ablation/rules-t-600.json,5,True,False,q-prod,24,impr_cost,
time-ablation/rules-t-600.json,5,True,False,2d-conv,25,time,0.038097381591796875
time-ablation/rules-t-600.json,5,True,False,2d-conv,25,cost,-1.0
time-ablation/rules-t-600.json,5,True,False,2d-conv,25,phase_1_n,
time-ablation/rules-t-600.json,5,True,False,2d-conv,25,phase_2_n,
time-ablation/rules-t-600.json,5,True,False,2d-conv,25,impr_cost,
time-ablation/rules-t-600.json,5,True,False,mat-mul,26,time,0.0379638671875
time-ablation/rules-t-600.json,5,True,False,mat-mul,26,cost,-1.0
time-ablation/rules-t-600.json,5,True,False,mat-mul,26,phase_1_n,
time-ablation/rules-t-600.json,5,True,False,mat-mul,26,phase_2_n,
time-ablation/rules-t-600.json,5,True,False,mat-mul,26,impr_cost,
time-ablation/rules-t-600.json,5,False,False,q-prod,27,time,0.03831076622009277
time-ablation/rules-t-600.json,5,False,False,q-prod,27,cost,-1.0
time-ablation/rules-t-600.json,5,False,False,q-prod,27,phase_1_n,
time-ablation/rules-t-600.json,5,False,False,q-prod,27,phase_2_n,
time-ablation/rules-t-600.json,5,False,False,q-prod,27,impr_cost,
time-ablation/rules-t-600.json,5,False,False,2d-conv,28,time,0.03810691833496094
time-ablation/rules-t-600.json,5,False,False,2d-conv,28,cost,-1.0
time-ablation/rules-t-600.json,5,False,False,2d-conv,28,phase_1_n,
time-ablation/rules-t-600.json,5,False,False,2d-conv,28,phase_2_n,
time-ablation/rules-t-600.json,5,False,False,2d-conv,28,impr_cost,
time-ablation/rules-t-600.json,5,False,False,mat-mul,29,time,0.037326812744140625
time-ablation/rules-t-600.json,5,False,False,mat-mul,29,cost,-1.0
time-ablation/rules-t-600.json,5,False,False,mat-mul,29,phase_1_n,
time-ablation/rules-t-600.json,5,False,False,mat-mul,29,phase_2_n,
time-ablation/rules-t-600.json,5,False,False,mat-mul,29,impr_cost,
time-ablation/rules-t-600.json,,True,False,q-prod,30,time,86.36233139038086
time-ablation/rules-t-600.json,,True,False,q-prod,30,cost,-1.0
time-ablation/rules-t-600.json,,True,False,q-prod,30,phase_1_n,3460
time-ablation/rules-t-600.json,,True,False,q-prod,30,phase_2_n,
time-ablation/rules-t-600.json,,True,False,q-prod,30,impr_cost,
time-ablation/rules-t-600.json,,True,False,2d-conv,31,time,50.8756890296936
time-ablation/rules-t-600.json,,True,False,2d-conv,31,cost,-1.0
time-ablation/rules-t-600.json,,True,False,2d-conv,31,phase_1_n,3460
time-ablation/rules-t-600.json,,True,False,2d-conv,31,phase_2_n,
time-ablation/rules-t-600.json,,True,False,2d-conv,31,impr_cost,
time-ablation/rules-t-600.json,,True,False,mat-mul,32,time,2853.2970945835114
time-ablation/rules-t-600.json,,True,False,mat-mul,32,cost,-1.0
time-ablation/rules-t-600.json,,True,False,mat-mul,32,phase_1_n,3460
time-ablation/rules-t-600.json,,True,False,mat-mul,32,phase_2_n,
time-ablation/rules-t-600.json,,True,False,mat-mul,32,impr_cost,
time-ablation/rules-t-600.json,,False,False,q-prod,33,time,67.86166405677795
time-ablation/rules-t-600.json,,False,False,q-prod,33,cost,-1.0
time-ablation/rules-t-600.json,,False,False,q-prod,33,phase_1_n,3460
time-ablation/rules-t-600.json,,False,False,q-prod,33,phase_2_n,
time-ablation/rules-t-600.json,,False,False,q-prod,33,impr_cost,
time-ablation/rules-t-600.json,,False,False,2d-conv,34,time,74.43370127677917
time-ablation/rules-t-600.json,,False,False,2d-conv,34,cost,-1.0
time-ablation/rules-t-600.json,,False,False,2d-conv,34,phase_1_n,3460
time-ablation/rules-t-600.json,,False,False,2d-conv,34,phase_2_n,
time-ablation/rules-t-600.json,,False,False,2d-conv,34,impr_cost,
time-ablation/rules-t-600.json,,False,False,mat-mul,35,time,3328.795940876007
time-ablation/rules-t-600.json,,False,False,mat-mul,35,cost,-1.0
time-ablation/rules-t-600.json,,False,False,mat-mul,35,phase_1_n,3460
time-ablation/rules-t-600.json,,False,False,mat-mul,35,phase_2_n,
time-ablation/rules-t-600.json,,False,False,mat-mul,35,impr_cost,
time-ablation/rules-t-6000.json,0,True,False,q-prod,36,time,0.06987810134887695
time-ablation/rules-t-6000.json,0,True,False,q-prod,36,cost,-1.0
time-ablation/rules-t-6000.json,0,True,False,q-prod,36,phase_1_n,
time-ablation/rules-t-6000.json,0,True,False,q-prod,36,phase_2_n,
time-ablation/rules-t-6000.json,0,True,False,q-prod,36,impr_cost,
time-ablation/rules-t-6000.json,0,True,False,2d-conv,37,time,0.05316591262817383
time-ablation/rules-t-6000.json,0,True,False,2d-conv,37,cost,-1.0
time-ablation/rules-t-6000.json,0,True,False,2d-conv,37,phase_1_n,
time-ablation/rules-t-6000.json,0,True,False,2d-conv,37,phase_2_n,
time-ablation/rules-t-6000.json,0,True,False,2d-conv,37,impr_cost,
time-ablation/rules-t-6000.json,0,True,False,mat-mul,38,time,0.05270814895629883
time-ablation/rules-t-6000.json,0,True,False,mat-mul,38,cost,-1.0
time-ablation/rules-t-6000.json,0,True,False,mat-mul,38,phase_1_n,
time-ablation/rules-t-6000.json,0,True,False,mat-mul,38,phase_2_n,
time-ablation/rules-t-6000.json,0,True,False,mat-mul,38,impr_cost,
time-ablation/rules-t-6000.json,0,False,False,q-prod,39,time,0.05290508270263672
time-ablation/rules-t-6000.json,0,False,False,q-prod,39,cost,-1.0
time-ablation/rules-t-6000.json,0,False,False,q-prod,39,phase_1_n,
time-ablation/rules-t-6000.json,0,False,False,q-prod,39,phase_2_n,
time-ablation/rules-t-6000.json,0,False,False,q-prod,39,impr_cost,
time-ablation/rules-t-6000.json,0,False,False,2d-conv,40,time,0.05245614051818848
time-ablation/rules-t-6000.json,0,False,False,2d-conv,40,cost,-1.0
time-ablation/rules-t-6000.json,0,False,False,2d-conv,40,phase_1_n,
