iteration,name,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
0,ruler_119097_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119098_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119099_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119102_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119103_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119104_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119105_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119107_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119108_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119109_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119110_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119118_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119119_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119120_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119121_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119122_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119123_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119124_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119125_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119126_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119127_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119128_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119129_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119133_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119134_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119135_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119143_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119144_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119145_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119146_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119147_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119148_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119149_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119151_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119156_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119158_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119159_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119160_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119161_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119162_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119163_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119166_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119167_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119168_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119169_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119170_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119171_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119172_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119173_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119186_lr-rev,3,187,146,602.76,193,149,602.76,0
0,ruler_119187_lr-rev,3,193,149,602.76,196,149,602.76,0
0,ruler_119194_lr-rev,3,196,149,602.76,202,152,602.76,0
0,ruler_119195_lr-rev,3,202,152,602.76,205,152,602.76,0
0,ruler_119196_lr-rev,3,205,152,602.76,208,152,602.76,0
0,ruler_119197_lr-rev,3,208,152,602.76,211,152,602.76,0
0,ruler_119198_lr-rev,3,211,152,602.76,214,152,602.76,0
0,ruler_119199_lr-rev,3,214,152,602.76,220,155,602.76,0
0,ruler_119200_lr-rev,3,220,155,602.76,223,155,602.76,0
0,ruler_119201_lr-rev,3,223,155,602.76,226,155,602.76,0
0,ruler_119204_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119205_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119206_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119207_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119208_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119209_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119210_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119211_lr-rev,0,226,155,602.76,226,155,602.76,0
0,ruler_119212_lr-rev,4,226,155,602.76,234,159,602.76,0
0,ruler_119213_lr-rev,4,234,159,602.76,242,163,602.76,0
0,ruler_119214_lr-rev,4,242,163,602.76,246,163,602.76,0
0,ruler_119215_lr-rev,4,246,163,602.76,250,163,602.76,0
0,ruler_119216_lr-rev,4,250,163,602.76,258,167,602.76,0
0,ruler_119217_lr-rev,4,258,167,602.76,266,171,602.76,0
0,ruler_119218_lr-rev,4,266,171,602.76,270,171,602.76,0
0,ruler_119219_lr-rev,4,270,171,602.76,274,171,602.76,0
0,ruler_119224_lr-rev,4,274,171,602.76,278,171,602.76,0
0,ruler_119225_lr-rev,4,278,171,602.76,282,171,602.76,0
0,ruler_119226_lr-rev,4,282,171,602.76,286,171,602.76,0
0,ruler_119227_lr-rev,4,286,171,602.76,290,171,602.76,0
0,ruler_119228_lr-rev,4,290,171,602.76,294,171,602.76,0
0,ruler_119229_lr-rev,4,294,171,602.76,298,171,602.76,0
0,ruler_119230_lr-rev,3,298,171,602.76,301,171,602.76,0
0,ruler_119231_lr-rev,3,301,171,602.76,304,171,602.76,0
0,ruler_119232_lr-rev,3,304,171,602.76,307,171,602.76,0
0,ruler_119233_lr-rev,3,307,171,602.76,310,171,602.76,0
0,ruler_119234_lr-rev,3,310,171,602.76,313,171,602.76,0
0,ruler_119235_lr-rev,3,313,171,602.76,316,171,602.76,0
0,ruler_119260_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119261_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119264_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119265_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119268_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119269_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119386_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119390_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119426_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119427_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119428_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119429_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119430_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119431_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119432_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119433_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119434_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119435_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119436_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119437_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119438_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119439_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119440_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119441_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119442_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119443_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119444_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119445_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119446_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119447_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119448_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119449_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119450_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119451_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119452_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119453_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119454_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119455_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119456_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119457_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119458_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119459_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119460_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119461_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119462_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119463_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119464_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119465_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119466_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119467_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119468_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119469_lr-rev,0,316,171,602.76,316,171,602.76,0
0,ruler_119470_lr-rev,0,316,171,602.76,316,171,602.76,0
