iteration,name,cd,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
4,vec-mac,106.7,341257,244076,14525,346.98900000000003,518594,17358,346.98900000000003,0
4,commute-add,0,1604,518594,17358,346.98900000000003,520072,14788,346.98900000000003,0
4,commute-mul,0,1360,520072,14788,346.98900000000003,521432,14788,346.98900000000003,0
4,assoc-add,0,177,521432,14788,346.98900000000003,521579,14281,346.98900000000003,0
4,assoc-mul,0,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,add-0,2.001,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,mul-0,2.001,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,mul-1,2.001,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,add-0-inv,-2.001,8516,521579,14281,346.98900000000003,530095,14281,346.98900000000003,0
5,mul-1-inv,-2.001,8516,530095,14281,346.98900000000003,538611,14281,346.98900000000003,0
5,div-1,2.001,0,538611,14281,346.98900000000003,538611,14281,346.98900000000003,0
5,div-1-inv,-2.001,8516,538611,14281,346.98900000000003,547127,14281,346.98900000000003,0
5,expand-zero-get,-0.002,0,547127,14281,346.98900000000003,547127,14281,346.98900000000003,0
5,litvec,0.099,1,547127,14281,346.98900000000003,547128,14281,346.98900000000003,0
5,neg-neg,3.9999999999999996,0,547128,14281,346.98900000000003,547128,14281,346.98900000000003,0
5,neg-neg-rev,-3.9999999999999996,5678,547128,14281,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-sgn,0,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-sgn-rev,0,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-zero-inv,-2,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-zero-inv-rev,2,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-minus,-0.0009999999999998899,5676,558484,19959,346.98900000000003,564160,19959,346.98900000000003,0
5,neg-minus-rev,0.0009999999999998899,0,564160,19959,346.98900000000003,564160,19959,346.98900000000003,0
5,neg-minus-zero,-0.0009999999999998899,0,564160,19959,346.98900000000003,564160,19959,346.98900000000003,0
